School_Year,OPT Code,Total Field Trips,Total Vehicles,Total Passengers,Unique Destinations
2022-2023,24058,29,53,1984,17
2022-2023,32377,1,3,90,1
2022-2023,03076,1,3,116,1
2022-2023,30228,6,15,581,5
2022-2023,31508,36,38,545,11
2022-2023,10016,1,2,55,1
2022-2023,21655,4,6,168,3
2022-2023,06187,42,79,2692,24
2022-2023,24802,1,2,60,1
2022-2023,12027,1,1,34,1
2022-2023,25194,10,29,1026,9
2022-2023,31509,248,361,5520,35
2022-2023,07454,50,50,1400,1
2022-2023,25214,30,43,1166,19
2022-2023,05085,28,50,1781,21
2022-2023,13093,18,37,453,6
2022-2023,31068,7,14,400,7
2022-2023,15261,16,20,578,13
2022-2023,08448,19,39,1318,13
2022-2023,27651,23,53,2000,13
2022-2023,15556,3,16,448,1
2022-2023,07551,6,10,265,5
